23:18:30.673 [main] INFO  main.java.client.Client - Começou!
23:18:30.838 [Thread-17] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=1800.0 Result= 833715.5208187142 Tempo=138
23:18:30.839 [Thread-25] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=2600.0 Result= 833715.2496230461 Tempo=129
23:18:30.839 [Thread-9] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=1000.0 Result= 833716.6874525442 Tempo=149
23:18:30.840 [Thread-28] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=2900.0000000000005 Result= 833715.2006483555 Tempo=117
23:18:30.840 [Thread-1] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=200.0 Result= 833757.186149593 Tempo=163
23:18:30.842 [Thread-26] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=2700.0 Result= 833715.2314748943 Tempo=128
23:18:30.842 [Thread-4] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=500.0 Result= 833721.749806653 Tempo=165
23:18:30.843 [Thread-14] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=1500.0 Result= 833715.7499789931 Tempo=145
23:18:30.844 [Thread-38] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=3900.0000000000005 Result= 833715.1109433915 Tempo=59
23:18:30.845 [Thread-7] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=800.0 Result= 833717.6366443406 Tempo=163
23:18:30.844 [Thread-10] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=1100.0 Result= 833716.3945887951 Tempo=147
23:18:30.845 [Thread-42] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=4300.0 Result= 833715.0912627258 Tempo=47
23:18:30.846 [Thread-5] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=600.0000000000001 Result= 833719.6873666422 Tempo=169
23:18:30.846 [Thread-3] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=400.0 Result= 833725.546569125 Tempo=169
23:18:30.846 [Thread-0] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=100.0 Result= 833883.7425685836 Tempo=170
23:18:30.846 [Thread-27] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=2800.0000000000005 Result= 833715.215236419 Tempo=123
23:18:30.847 [Thread-16] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=1700.0000000000002 Result= 833715.5838935827 Tempo=147
23:18:30.847 [Thread-43] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=4400.0 Result= 833715.0871616646 Tempo=33
23:18:30.850 [Thread-8] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=900.0 Result= 833717.083274521 Tempo=164
23:18:30.850 [Thread-18] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=1900.0000000000002 Result= 833715.4674384086 Tempo=148
23:18:30.851 [Thread-24] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=2500.0 Result= 833715.2699923097 Tempo=145
23:18:30.853 [Thread-2] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=300.00000000000006 Result= 833733.749441588 Tempo=176
